count_id,count_date,location_name,latitude,longitude,leg_type,active_approaches,missing_approaches,north_present,east_present,south_present,west_present,total_vehicle_day_raw_derived,total_pedestrian_day_raw_derived,total_bike_day_raw_derived,summary_total_vehicle,summary_total_pedestrian,summary_total_bike,summary_count_duration_hr,summary_am_peak_start,summary_am_peak_vehicle,summary_pm_peak_start,summary_pm_peak_vehicle,is_most_recent_for_location
113181,2025-10-07,Markham Rd / Rochman Blvd,43.7643994257934,-79.2270805301803,3_leg,"N,S,W",E,1,0,1,1,29361,179,41,29361,179,41,14,2025-10-07T08:30:00,2082,2025-10-07T15:30:00,2541,1
112276,2025-10-01,Eglinton Ave W / Old Forest Hill Rd,43.7015084497377,-79.4231400154151,4_leg,"N,E,S,W",,1,1,1,1,25233,2382,220,25233,2382,220,14,2025-10-01T07:45:00,2264,2025-10-01T16:30:00,2027,0
112275,2025-10-01,Eglinton Ave W / Chiltern Hill Rd,43.7005351412687,-79.4277352281462,4_leg,"N,E,S,W",,1,1,1,1,24413,4856,214,24413,4856,214,14,2025-10-01T07:15:00,2123,2025-10-01T16:00:00,1850,0
112277,2025-10-01,Eglinton Ave W / Glen Cedar Rd,43.6998577707626,-79.430883966355,4_leg,"N,E,S,W",,1,1,1,1,30108,4029,193,30108,4029,193,14,2025-10-01T07:30:00,2334,2025-10-01T16:30:00,2303,0
112279,2025-10-01,Bathurst St / Eglinton Ave W,43.7009925239728,-79.425561957288,4_leg,"N,E,S,W",,1,1,1,1,46354,6794,374,46354,6794,374,14,2025-10-01T07:30:00,3849,2025-10-01T18:00:00,3854,0
114102,2025-10-02,Bathurst St / Bloor St W,43.6651204017518,-79.4111954412483,4_leg,"N,E,S,W",,1,1,1,1,26819,19144,5737,26819,19144,5737,14,2025-10-02T07:30:00,2181,2025-10-02T17:30:00,2281,0
113793,2025-10-07,Evans Ave / Bellman Ave,43.614200766377,-79.5333091289229,3_leg,"E,S,W",N,0,1,1,1,20235,76,33,20235,76,33,14,2025-10-07T08:00:00,2039,2025-10-07T17:00:00,1960,1
113718,2025-09-09,Queen St W / Duncan St,43.6502181053281,-79.389440106913,3_leg,"E,S,W",N,0,1,1,1,9165,29994,2131,9165,29994,2131,14,2025-09-09T08:30:00,725,2025-09-09T17:15:00,831,1
114104,2025-10-02,Bathurst St / Lennox St,43.6638329269717,-79.4106815275148,4_leg,"N,E,S,W",,1,1,1,1,17311,5137,819,17311,5137,819,14,2025-10-02T07:30:00,1510,2025-10-02T17:30:00,1533,0
114106,2025-10-02,Bathurst St / Harbord St,43.6615219532537,-79.4097464356676,4_leg,"N,E,S,W",,1,1,1,1,19923,5379,1656,19923,5379,1656,14,2025-10-02T08:15:00,1598,2025-10-02T17:00:00,1803,0
114108,2025-10-02,Bathurst St / Ulster St,43.6598145696506,-79.4090541694424,4_leg,"N,E,S,W",,1,1,1,1,16518,3412,1097,16518,3412,1097,14,2025-10-02T08:00:00,1423,2025-10-02T17:00:00,1454,0
114112,2025-10-02,Bathurst St / Nassau St,43.6542910835651,-79.4068230102828,4_leg,"N,E,S,W",,1,1,1,1,16196,9427,1188,16196,9427,1188,14,2025-10-02T08:00:00,1331,2025-10-02T17:00:00,1421,1
114110,2025-10-02,College St / Bathurst St,43.6564657854785,-79.4077021231845,4_leg,"N,E,S,W",,1,1,1,1,25182,15353,5731,25182,15353,5731,14,2025-10-02T08:00:00,2163,2025-10-02T17:00:00,2172,0
114114,2025-10-02,Bathurst St / Dundas St W,43.6522953239422,-79.4060130671235,4_leg,"N,E,S,W",,1,1,1,1,26059,14141,2500,26059,14141,2500,14,2025-10-02T08:00:00,2110,2025-10-02T16:45:00,2221,0
114118,2025-10-02,Bathurst St / Queen St W,43.6471882946161,-79.4040105032962,4_leg,"N,E,S,W",,1,1,1,1,23782,16410,2847,23782,16410,2847,14,2025-10-02T08:00:00,1815,2025-10-02T17:30:00,2099,0
114119,2025-10-04,Bathurst St / Queen St W,43.6471882946161,-79.4040105032962,4_leg,"N,E,S,W",,1,1,1,1,20740,24990,3210,20740,24990,3210,14,2025-10-04T09:15:00,1421,2025-10-04T15:00:00,1741,0
114122,2025-10-02,Bathurst St / Adelaide St W (North),43.6451920095979,-79.4032337335071,3_leg,"N,E,S",W,1,1,1,0,20605,6550,2939,20605,6550,2939,14,2025-10-02T08:15:00,1710,2025-10-02T16:45:00,1686,0
114121,2025-10-04,Bathurst St / Richmond St W,43.6464613239948,-79.4037187990812,4_leg,"N,E,S,W",,1,1,1,1,17128,8869,3098,17128,8869,3098,14,2025-10-04T09:15:00,1160,2025-10-04T16:00:00,1476,0
114120,2025-10-02,Bathurst St / Richmond St W,43.6464613239948,-79.4037187990812,4_leg,"N,E,S,W",,1,1,1,1,18553,7423,3852,18553,7423,3852,14,2025-10-02T08:15:00,1419,2025-10-02T16:45:00,1574,0
114123,2025-10-04,Bathurst St / Adelaide St W (North),43.6451920095979,-79.4032337335071,3_leg,"N,E,S",W,1,1,1,0,18572,8588,2442,18572,8588,2442,14,2025-10-04T09:15:00,1250,2025-10-04T14:30:00,1607,0
114124,2025-10-02,Bathurst St / King St W,43.6439263107158,-79.4027055347119,4_leg,"N,E,S,W",,1,1,1,1,20270,16056,2521,20270,16056,2521,14,2025-10-02T08:45:00,1510,2025-10-02T17:15:00,1675,0
114127,2025-10-04,Bathurst St / Wellington St W,43.642644493474,-79.4021525818889,4_leg,"N,E,S,W",,1,1,1,1,16199,11922,3200,16199,11922,3200,14,2025-10-04T09:15:00,986,2025-10-04T17:45:00,1418,0
114126,2025-10-02,Bathurst St / Wellington St W,43.642644493474,-79.4021525818889,4_leg,"N,E,S,W",,1,1,1,1,18156,9518,3254,18156,9518,3254,14,2025-10-02T08:30:00,1306,2025-10-02T17:15:00,1584,0
114128,2025-10-02,Bathurst St / Niagara St,43.6419188262932,-79.4018650225258,4_leg,"N,E,S,W",,1,1,1,1,18813,10762,1688,18813,10762,1688,14,2025-10-02T08:30:00,1518,2025-10-02T16:45:00,1575,0
114125,2025-10-04,Bathurst St / King St W,43.6439263107158,-79.4027055347119,4_leg,"N,E,S,W",,1,1,1,1,18990,18399,2720,18990,18399,2720,14,2025-10-04T09:15:00,1197,2025-10-04T18:00:00,1665,0
114129,2025-10-04,Bathurst St / Niagara St,43.6419188262932,-79.4018650225258,4_leg,"N,E,S,W",,1,1,1,1,17392,14956,2250,17392,14956,2250,14,2025-10-04T09:15:00,1055,2025-10-04T17:30:00,1555,0
114130,2025-10-02,Bathurst St / Front St W,43.6407497966103,-79.4014219974625,3_leg,"N,E,S",W,1,1,1,0,22297,11366,1326,22297,11366,1326,14,2025-10-02T08:45:00,1705,2025-10-02T16:45:00,1967,0
